Qty,Value,Purchase URL
40,Cherry MX Style PCB Switch,https://mechanicalkeyboards.com/products/gateron-g-pro-30-silver-45g-linear-pcb-mount
1,Raspberry Pi Zero v1.3,https://www.digikey.com/en/products/detail/raspberry-pi/SC1176/15298147
1,1043,https://www.digikey.com/en/products/detail/keystone-electronics/1043/2745669
1,EVE 35V,https://www.18650batterystore.com/products/eve-35v-18650-3500mah-10a-battery
1,MP2637GR-P,https://www.digikey.com/en/products/detail/monolithic-power-systems-inc/MP2637GR-P/5298904
1,BQ27427YZFR,https://www.digikey.com/en/products/detail/texas-instruments/BQ27427YZFR/17748369
1,1uF,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B105KAFNNNE/3886724
1,RA1H1C112R,https://www.digikey.com/en/products/detail/e-switch/RA1H1C112R/3778069
1,ERB-RE1R00V,https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERB-RE1R00V/2796790
1,DMG2305UX-7,https://www.digikey.com/en/products/detail/diodes-incorporated/DMG2305UX-7/4340667
6,10K,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805FT10K0/1760676
3,SLW-864587-2A-RA-N-D,https://www.digikey.com/en/products/detail/same-sky-formerly-cui-devices/SLW-864587-2A-RA-N-D/24399384
1,2.2uH,https://www.digikey.com/en/products/detail/taiyo-yuden/BRL3225T2R2M/2002780
1,47nF,https://www.digikey.com/en/products/detail/walsin-technology-corporation/0805B473J500CT/9355080
1,20m,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CSS0805FT20L0/6271917
4,ESD321DYAR,https://www.digikey.com/en/products/detail/texas-instruments/ESD321DYAR/17394968
1,TSD05DYFR,https://www.digikey.com/en/products/detail/texas-instruments/TSD05DYFR/21298352
1,MCP3204T-CI/SL,https://www.digikey.com/en/products/detail/microchip-technology/MCP3204T-CI-SL/319441
6,22uF,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL31A226KAHNNNE/3888705
30,1N4148WX-TP,https://www.mccsemi.com/pdf/Products/1N4148WX(SOD-323).pdf
1,UJ20-C-H-G-SMT-P16-TR,https://www.digikey.com/en/products/detail/same-sky-formerly-cui-devices/UJ20-C-H-G-SMT-P16-TR/24818595
2,RJ45,https://www.digikey.com/en/products/detail/keystone-electronics/942/5638364
1,31.6k,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805FT31K6/1713019
1,0.1uF,https://www.digikey.com/en/products/detail/yageo/CC0805KRX7R9BB104/302874
1,MCP40D19T-104E_LT,https://www.digikey.com/en/products/detail/microchip-technology/MCP40D19T-104E-LT/2163913
1,15k,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805FT15K0/1760487
4,5.1K,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RNCF0805DTE5K10/6241868
1,21.5k,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805FT21K5/1760114
1,500K,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RNCF0805BTE500K/6240086
1,73.2k,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RNCF0805DTE73K2/6241979
1,4.02K,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RNCP0805FTD4K02/2240247
1,590k,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805FT590K/1760428
1,8.06k,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RNCP0805FTD8K06/2240259
1,7.15K,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805FT7K15/1713329
1,EG2208,https://www.digikey.com/en/products/detail/e-switch/EG2208/301963
1,TLV431BIDBZR,https://www.digikey.com/en/products/detail/texas-instruments/TLV431BIDBZR/705335
1,2.2uF,https://www.digikey.com/en/products/detail/tdk-corporation/C2012X7R1C225K125AB/569046
1,Ferrite Ring,https://www.digikey.com/en/products/detail/laird-signal-integrity-products/46T0119-40P/6823392
2,Test Points,https://www.digikey.com/en/products/detail/mill-max-manufacturing-corp/0926-1-15-20-75-14-11-0/2784012
1,40Pos Header,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/61304021121/4846886
