"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"A0,Asterisk0,Asterisk1,Asterisk2,Asterisk3,B0,D0,E0,F0,G0,H0,K0,L0,Number_Bar0,Number_Bar1,Number_Bar2,Number_Bar3,Number_Bar4,Number_Bar5,Number_Bar6,Number_Bar7,Number_Bar8,Number_Bar9,Number_Bar10,Number_Bar11,O0,P_{L}0,P_{R}0,R_{L}0,R_{R}0,S0,S1,S2,Spare0,Spare1,T_{L}0,T_{R}0,U0,W0,Z0","40","SW_Push","","","","PCM_Switch_Keyboard_Cherry_MX:SW_Cherry_MX_PCB","~"
"A1","1","Raspberry Pi Zero v1.3","","","","Raspberry_Pi_Zero_v.1.3_Hat:RASPI_ZERO_FULL","https://pinout.xyz/"
"BAT0","1","1043","","","","1043:BAT_1043",""
"Battery_Charger0","1","MP2637GR-P","","","","QFN-24_MP2637_MNP","https://www.monolithicpower.com/en/documentview/productdocument/index/version/2/document_type/Datasheet/lang/en/sku/MP2637GR-Z"
"Battery_Monitor0","1","BQ27427YZFR","","","","BQ27427YZFR:IC_BQ27427YZFR",""
"BAT_Decouple0","1","1uF","","","","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B105KAFNNNE/3886724"
"BAT_EN0","1","RA1H1C112R","","","","SW_RA1H1C112R_EWI","RA1H1C112R"
"BAT_Fuse0","1","ERB-RE1R00V","","","","ultra_librarian_footprints:FUSE_ERBRE_PAN","ERB-RE1R00V"
"BAT_MIN0","1","DMG2305UX-7","","","","SOT91P240X110-3N_DMG2305UX-7",""
"BIN_Pulldown0,RNTC_{H}0,RNTC_{L}0,R_{Pullup}0","4","10K","","","","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805FT10K0/1760676"
"BT_EN0,STORAGE_EN0,TRANSLATION_EN0","3","SLW-864587-2A-RA-N-D","","","","SW_SLW-864587-2A-RA-N-D",""
"CHRG_Bypass0","1","2.2uH","","","","Inductor_SMD:L_1210_3225Metric","https://www.digikey.com/en/products/detail/taiyo-yuden/BRL3225T2R2M/2002780"
"CHRG_Decouple0","1","47nF","","","","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/walsin-technology-corporation/0805B473J500CT/9355080"
"CHRG_Shunt0","1","20m","","","","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CSS0805FT20L0/6271917"
"CR0,CR1,CR2,CR3","4","ESD321DYAR","","","","SOT5x3_DYA_TEX","https://www.ti.com/lit/gpn/esd321"
"CR4","1","TSD05DYFR","","","","TVS_SOD2_DYF_TEX","https://www.ti.com/lit/gpn/tsd05"
"Current_Monitor0","1","MCP3204T-CI/SL","","","","SOIC14-N_MC_MCH","MCP3204T-CI/SL"
"C_{BATT}0,C_{BATT}1,C_{SYS}0,C_{SYS}1,C_{SYS}2,VBUS_Bypass0","6","22uF","","","","Capacitor_SMD:C_1206_3216Metric","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL31A226KAHNNNE/3888705"
"D_{As}0,D_{AS}1,D_{AS}2,D_{AS}3,D_{A}0,D_{B}0,D_{D}0,D_{E}0,D_{F}0,D_{G}0,D_{H}0,D_{K}0,D_{L}0,D_{NUM}0,D_{NUM}1,D_{O}0,D_{PL}0,D_{PR}0,D_{RL}0,D_{RR}0,D_{Spare}0,D_{Spare}1,D_{S}0,D_{S}1,D_{S}2,D_{TL}0,D_{TR}0,D_{U}0,D_{W}0,D_{Z}0","30","1N4148WX-TP","","","","Diode_SMD:D_SOD-323","https://www.mccsemi.com/pdf/Products/1N4148WX(SOD-323).pdf"
"J0","1","UJ20-C-H-G-SMT-P16-TR","","","","UJ20-C-H-G-SMT-P16-TR:SAMESKY_UJ20-C-H-G-SMT-P16-TR",""
"Left_Plug0,Right_Plug0","2","RJ45","","","","custom:8P8C_942","~"
"RFB_{H}0","1","31.6k","","","","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805FT31K6/1713019"
"RFB_{L}0,RLIM_{H}0","2","10k","","","","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805FT10K0/1760676"
"RLIM_Decouple0","1","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/CC0805KRX7R9BB104/302874"
"RLIM_{L}0","1","MCP40D19T-104E_LT","","","","SOT65P210X110-5N",""
"RREG_{H}0","1","15k","","","","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805FT15K0/1760487"
"RREG_{L}0,RWIN_{L}0","2","5.1k","","","","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805FT5K10/1760394,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805JT5K10/1757930"
"RWIN_{H}0","1","21.5k","","","","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805FT21K5/1760114"
"R_{HIST}0","1","500K","","","","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RNCF0805BTE500K/6240086"
"R_{ISET}0","1","73.2k","","","","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RNCF0805DTE73K2/6241979"
"R_{Lower}0","1","4.02K","","","","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RNCP0805FTD4K02/2240247"
"R_{OLIM}0","1","590k","","","","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805FT590K/1760428"
"R_{Store}0","1","8.06k","","","","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RNCP0805FTD8K06/2240259"
"R_{Upper}0","1","7.15K","","","","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805FT7K15/1713329"
"STORE_EN0","1","EG2208","","","","SW_EG2208",""
"USB_Default_Power_CC1,USB_Default_Power_CC2","2","5.1K","","","","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RNCF0805DTE5K10/6241868"
"VBAT_PASS0","1","TLV431BIDBZR","","","","DBZ3","https://www.ti.com/lit/gpn/tlv431b"
"VDD_Decouple0","1","2.2uF","","","","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/tdk-corporation/C2012X7R1C225K125AB/569046"
